糊塗麵,106台北市大安區溫州街22巷11號
大埔平價鐵板燒,106台北市大安區復興南路二段158-2號
すき家Sukiya 公館店,106台北市大安區羅斯福路三段309號
POST霞飛驛歐法點餐,106台北市大安區新生南路三段60巷8號
泰街頭,10648台北市大安區溫州街74巷6號
健康滷味,106台北市大安區師大路83巷12號
樂食堂,106台北市大安區臥龍街11號
漢來海港餐廳-敦化店,106台北市大安區敦化南路一段246號
七里亭茶食館,106台北市大安区瑞安街136號
義麵麵,106台北市大安區復興南路二段340巷5號
東區粉圓 Eastern Ice,106台北市大安區忠孝東路四段216巷38號
樂業麵線,106台北市大安區樂業街136號
Stoppage Time 補時,106台北市大安區和平東路二段96巷15弄30號
貝菈小屋,106台北市大安區辛亥路二段159號
沾美西餐廳,106台北市大安區仁愛路四段77號
珍品味泰式炭烤（師大第一腿）,106台北市大安區和平東路二段118巷67號
台電勵進餐廳,106台北市大安區和平東路一段75巷
I’m Pasta,106台北市大安區和平東路二段118巷50號
大連風味館,106台北市大安區復興南路二段175之1號
格芮潘義式創意廚房,106台北市大安區和平東路二段118巷5-1號
好鍋癮涮涮鍋,106台北市大安區辛亥路二段161號
銀座越南美食,100台北市中正區羅斯福路三段286巷4弄6號
大盛豬排專門店,106台北市大安區新生南路三段76巷10之1號
義饗食堂,106台北市大安區羅斯福路四段83號
香港鑫華茶餐廳,106台北市大安區金華街126號
維綸麵食館,100台北市中正區汀州路三段279號
麻吉食堂,106台北市大安區和平東路二段118巷54弄18號
摩斯漢堡復興南路店,106台北市大安區復興南路二段151巷47號
牛洞食堂,106台北市大安區羅斯福路三段277-1號
劉家水煎包,100台北市中正區汀州路三段189號
濃氣屋 拉麵 成功店,106台北市大安區和平東路二段311巷17號
麥味登(北市復興店),106台北市大安區復興南路二段377號
馬辣頂級麻辣鴛鴦火鍋,100台北市中正區汀州路三段86號
女巫店,106台北市大安區新生南路三段56巷7號
興隆涼麵,106台北市大安區羅斯福路三段333巷1號
古拉爵義式屋,100台北市大安區羅斯福路三段29號
莫宰羊-大安台大店,106台北市大安區新生南路三段28號
頂好紫琳蒸餃館 Zi Lin Steamed Dumpling,106台北市大安區忠孝東路四段97號
赤神日式豬排公館店,100台北市中正區羅斯福路三段286巷4弄14號
找餐。店,106台北市大安區和平東路三段1巷6-3號
蒙娜家廚,106台北市大安區羅斯福路三段283巷48號
Woolloomooloo,110台北市信義區信義路四段379號
添好運 (新光三越A8),110台北市信義區松高路12號
季丼屋 - 日本丼飯,100台北市中正區羅斯福路四段150號
Bravo Burger發福廚房台大店,100台北市中正區羅斯福路四段44之1號
易牙居餐廳,100台北市中正區羅斯福路三段286巷16號
大福利排骨大王,100台北市中正區羅斯福路三段286巷12號
樂麵屋 永康店,106台北市大安區永康街10巷7號
台灣第一腿(泰式碳烤),106台北市大安區和平東路二段118巷73號
江南韓食館,106台北市大安區和平東路二段118巷54弄3號
銀咖喱公館總店,100台北市中正區羅斯福路三段276號
彌生軒 YAYOI 敦南和平店,106台北市大安區敦化南路二段269.271號1F
蘿絲瑪莉義麵坊,104台北市中山區南京西路12巷13弄9號
八方雲集 (台大店),106台北市大安區羅斯福路三段333巷9號
豪香熱炒,106台北市大安區羅斯福路三段333巷7號
G Woo,106台北市大安區敦化南路二段81巷63號
Mr. 拉麵,100台北市中正區羅斯福路三段316巷9弄2號
吉屋食堂-科技大樓店,106台北市大安區復興南路二段297號
So Free 柴燒窯烤,106台北市大安区新生南路三段86巷19號
潮肉壽喜燒,106台北市大安區東豐街41號
瑪莉珍比薩,106台北市大安區溫州街89號
香葉泰式料理餐廳,106台北市大安區敦化南路二段172巷34號
紫藤廬,106台北市大安區新生南路三段16巷1號
女九餐廳,106台北市大安區羅斯福路四段1號
大聲公 台大牛肉麵店,106台北市大安區新生南路三段54之6號
麥當勞,100台北市中正區羅斯福路四段76-1號
發福廚房 公館店,100台北市中正區羅斯福路四段24巷13號
GoGo Pasta (公館店),100台北市中正區羅斯福路三段316巷14號
派克脆皮雞排,100台北市中正區羅斯福路三段316巷4號
甘丹鐵板燒,100台北市中正區汀州路三段208號
得記麻辣脆皮臭豆腐,100台北市中正區羅斯福路四段52巷16弄4號
春花微笑,106台北市大安區新生南路三段72號
Mr. 雪腐 公館店,100台北市中正區羅斯福路三段244巷21號
馬場町胖虎的店,108台北市萬華區馬場町紀念公園
薩莉亞 師範大學店,106台北市大安區和平東路一段129-1號
